B0,communicative_fraction
0.011111111111111127,0.0007484905550495501
0.013175852408097767,0.0007556617780367417
0.015240593705084408,0.0007640882674338589
0.027333594837248967,0.0008392036991182376
0.03942659596941352,0.0009607304893478178
0.04505225824199231,0.0010343554426405146
0.05067792051457111,0.001119633025894153
0.05821840483611677,0.0012533716767995035
0.06575888915766243,0.0014109503635929422
0.0719896564172837,0.0015604337617205473
0.07822042367690499,0.0017284716118586988
0.08401441950363445,0.0019022793824568472
0.08980841533036389,0.0020938124361797603
0.09708186985495819,0.002360474491370409
0.10435532437955249,0.002657526682621711
0.11087965206002755,0.0029507145078712686
0.11740397974050261,0.003269774135709922
0.12487195350435426,0.0036671801775546705
0.13233992726820593,0.004099098689131409
0.13792223750146543,0.004444366011395531
0.1435045477347249,0.004808534700225994
0.15064442905400569,0.005301249834331879
0.15778431037328647,0.005823201434060392
0.1643009069355783,0.006323980730745366
0.17081750349787017,0.00684681757689605
0.18565088652028366,0.008111985228567431
0.19740965232323668,0.009179832248765783
0.21201840403368116,0.010571816554790168
0.2232063466055794,0.011676962504227567
0.23897974231372773,0.01327777605205774
0.25076691292187536,0.014497186924974967
0.2641715733880431,0.015898974299018265
0.27744679091180696,0.017295553834143954
0.2920519624645859,0.018834051056788963
0.30320779122915004,0.020006514880757657
0.31728548843540527,0.021478632706848955
0.33030588951017015,0.02282972406614029
0.3437341790509235,0.024210045085574772
0.3573453008242531,0.025593602921832263
0.3715578652672521,0.027019954052626867
0.3827537805430489,0.028129559215756057
0.4082504804486093,0.030608230441129623
0.41111111111111115,0.03088204928786878
