index,x,y,strategyIndex
1,4.852565695748904,-1.0262463485361724,38
2,3.8272575788863565,-1.0322604449727342,35
3,3.516343072444682,-1.5152845551632623,14
4,3.587718565458095,-1.3782377856747645,6
5,3.94978942885049,-0.4470845494602617,13
6,3.905351580499464,-0.06556069454159577,11
7,3.8974440842534928,-0.2378839839171992,27
8,4.505284320749407,-1.7687218746519375,30
9,2.8403401921458435,-0.41081656322909293,13
10,4.871348986398192,-0.07007317130019454,23
11,4.677951627796247,-1.474385578505423,33
12,4.875583542019013,-0.5341227434727638,35
13,4.761665762835264,-0.6969518748219407,34
14,3.6889962594247363,-1.0378021021679862,5
15,3.8077724140864975,0.8017851784485389,33
16,4.35211350233453,-2.043651912295022,35
17,4.9483472458172235,0.2740418170172171,40
18,3.8044735716371965,-0.8445779410508598,33
19,3.7997823046847774,-0.5875415431331502,34
20,4.686445290175898,-1.156460637852559,34
21,0.345860148937298,1.9897065013642163,16
22,0.05249258871579876,2.0797714954473765,37
23,-0.7751517532166261,1.9145702385662169,14
24,-1.9641243103406627,1.5790528067659217,6
25,-0.8634846170259233,2.1360144941128953,7
26,-1.08308111763442,2.035916212168978,32
27,-0.2080493959895826,2.3640696574663562,24
28,-0.3363549194252989,2.2648078310336857,32
29,-0.4414035852819515,1.743154753359358,6
30,-0.5659520958590066,1.6517456142460716,2
31,0.47256077235490357,2.027265362984481,3
32,-0.5412095742106778,2.0487187099469817,26
33,0.6497358107142205,1.6347547214118767,26
34,0.2528313137094096,1.5454928198502793,32
35,0.29223231352886947,2.310849465186903,20
36,-0.4101755169297957,2.5314650864989727,2
37,-0.4373752156419509,1.4783390871249058,36
38,0.26672117674420265,2.1037284508430134,1
39,-1.2981682617560848,2.0354133663284553,26
40,-1.267330133161214,1.7106441299141297,38
41,-0.5231787604622329,0.7348596703816728,10
42,-0.849419146083496,0.9534871382689264,32
43,-0.19597268456819078,0.7462175970787662,1
44,-0.2807930607367139,0.5527903362447626,24
45,0.5197702718666461,0.11940868079428865,12
46,0.45324743291480296,0.7919384943678731,39
47,0.008238654889869267,0.2334312056262262,32
48,0.370329989865561,0.5466803275911977,32
